param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_impurity_decrease,param_bootstrap,cv_accuracy,error_rate
200,20,5,0.0,False,0.845305826941385,0.154694173058615
100,10,5,0.0,False,0.8401769625820751,0.15982303741792492
100,30,1,0.0,True,0.8348025290856514,0.16519747091434855
50,30,5,0.01,True,0.7605724229800782,0.2394275770199218
100,30,1,0.01,True,0.7591904439861589,0.24080955601384113
100,20,5,0.05,True,0.7591904439861589,0.24080955601384113
50,30,1,0.05,False,0.7591904439861589,0.24080955601384113
50,20,1,0.01,False,0.7591904439861589,0.24080955601384113
50,20,1,0.05,True,0.7591904439861589,0.24080955601384113
100,10,1,0.01,False,0.7591904439861589,0.24080955601384113
